Unnamed: 0,text,label
133243,ive learned to surround myself with women who lift me up and leave me feeling nurtured rather than drained,0
88501,i already feel crappy because of this and you being upset at me or the situation doesnt help,0
131379,i feel like i have lost mourned and moved past the tears in this relationship,0
148369,i could write a whole lot more about why im feeling so crappy but i dont think it would make me feel any better about it,0
134438,i always seem to feel inadequate,0
131586,i feel really inadequate and i just wish i had enough brains to atleast pretend to know what i was doing,0
75443,i want to so badly because im lonely and feeling very isolated much of the time,0
336510,i feel troubled so troubled that i cannot seem to feel comfortable with being my own me and stop being this socially accepted me,0
14348,i am really surprised and frankly i feel pretty beaten up,0
5720,i recommend using them when feeling emotionally drained,0
329177,i saw this as him trying to hurt me mentally and emotionally trying to convince me that i was the one being out of control and wrong and i lost respect for him thus why i no longer feel submissive toward him i cannot submit to someone who i do not respect,0
138422,i love getting out for a run when i feel like running without a second thought or a hesitation of fear that i will die or it will hurt too bad,0
33893,i am unsure or uncertain when i forget who i am or where i was supposed to be going or most commonly when i feel unhappy you are the one who will fight my corner,0
75741,i feel i think im a foolish,0
11716,i think its the feeling stupid part because i couldnt tell you were lying,0
61222,i am feeling very very doomed,0
129490,i woke up i was still feeling bad,0
384192,i sat down at the nurse s station feeling completely helpless,0
330516,i left the class feeling slightly foolish but strangely determine to conquer this class,0
56285,i feel a little homesick for my moms cooking,0
40208,im trying hard to be a good freelancer im feeling quite drained though so if im slow to respond to comments or emails i apologise,0
31901,i was sad to leave because there are people there i love and considered to be like extended family but for the most part i was tired of feeling worthless and i was done,0
328325,i feel as though it is all fake and one day i will wake up and have a different lifestyle and a different life with different people,0
174705,i on career i feel like lebron without the ring youtube target blank yo gotti on career i feel like lebron without the ring youtube,0
84368,i wanted to go but would it be dishonest when i m no longer feeling so regretful,0
309973,i tweeted about what i was doing feeling a little foolish about it and wondering who would care,0
323431,i never thought i could feel so ugly,0
155958,id feel deservedly rotten,0
156355,i was left feeling a little drained and a whole lot blue,0
263012,i feel unfortunate that euro fanstheyre great fans,0
342222,i always feel regretful a few weeks after,0
283238,i came to this realization that i was often feeling blamed or being blamed for things that were utterly outside of my control,0
22058,i feel incredibly remorseful for that but i just dont know how to make the sadness and stress stop,0
60020,i feel any loss of life is mournful but i realize death is as much a part of life as birth,0
196542,i did that last night and woke up feeling groggy until about lunch time,0
220485,i agree however i will continue to educate people about the negatives of spanking if i feel it is not in vain,0
41891,i feel very shamed to live in the world,0
86303,i was feeling a little groggy the next morning but with a mere hours to get hold of the elusive outfit there was no time to waste nursing my hangover,0
94691,i was pretty depressed when i first got here and i did a lot of sleeping moping and feeling sorry for myself while missing my family,0
246684,i feel more embarrassed talking to or at least when im talking to them i overanalyze everything i say but even with those people i dont think i come across as awkward even if im feeling awkward,0
50184,i feel incredibly ungrateful but short of sneaking the sandwich to the garbage and making up an excuse to leave and grab other food i cant really hide the fact that im not going to eat it,0
408489,i want to have a loving marriage but i just feel that maybe it s too damaged,0
100313,i went to work like normal and didnt feel bad in any way shape or form,0
